row,col,expected,actual,file
10214,CO2,no trailing characters,2023-07-19,literal data
10214,CH4,no trailing characters,15:15:48,literal data
10214,NA,22 columns,25 columns,literal data
10215,DATE,date like ,2,literal data
10215,TIME,time like ,in,literal data
10215,H2O,a double,"wetl""",literal data
10215,CO2,no trailing characters,2023-07-19,literal data
10215,CH4,no trailing characters,15:15:49,literal data
10215,NA,22 columns,25 columns,literal data
10216,DATE,date like ,2,literal data
10216,TIME,time like ,in,literal data
10216,H2O,a double,"wetl""",literal data
10216,CO2,no trailing characters,2023-07-19,literal data
10216,CH4,no trailing characters,15:15:50,literal data
10216,NA,22 columns,25 columns,literal data
10217,DATE,date like ,2,literal data
10217,TIME,time like ,in,literal data
10217,H2O,a double,"wetl""",literal data
10217,CO2,no trailing characters,2023-07-19,literal data
10217,CH4,no trailing characters,15:15:51,literal data
10217,NA,22 columns,25 columns,literal data
10218,DATE,date like ,2,literal data
10218,TIME,time like ,in,literal data
10218,H2O,a double,"wetl""",literal data
10218,CO2,no trailing characters,2023-07-19,literal data
10218,CH4,no trailing characters,15:15:52,literal data
10218,NA,22 columns,25 columns,literal data
10219,DATE,date like ,2,literal data
10219,TIME,time like ,in,literal data
10219,H2O,a double,"wetl""",literal data
10219,CO2,no trailing characters,2023-07-19,literal data
10219,CH4,no trailing characters,15:15:53,literal data
10219,NA,22 columns,25 columns,literal data
10220,DATE,date like ,2,literal data
10220,TIME,time like ,in,literal data
10220,H2O,a double,"wetl""",literal data
10220,CO2,no trailing characters,2023-07-19,literal data
10220,CH4,no trailing characters,15:15:54,literal data
10220,NA,22 columns,25 columns,literal data
10221,DATE,date like ,2,literal data
10221,TIME,time like ,in,literal data
10221,H2O,a double,"wetl""",literal data
10221,CO2,no trailing characters,2023-07-19,literal data
10221,CH4,no trailing characters,15:15:55,literal data
10221,NA,22 columns,25 columns,literal data
10222,DATE,date like ,2,literal data
10222,TIME,time like ,in,literal data
10222,H2O,a double,"wetl""",literal data
10222,CO2,no trailing characters,2023-07-19,literal data
10222,CH4,no trailing characters,15:15:56,literal data
10222,NA,22 columns,25 columns,literal data
10223,DATE,date like ,2,literal data
10223,TIME,time like ,in,literal data
10223,H2O,a double,"wetl""",literal data
10223,CO2,no trailing characters,2023-07-19,literal data
10223,CH4,no trailing characters,15:15:57,literal data
10223,NA,22 columns,25 columns,literal data
10224,DATE,date like ,2,literal data
10224,TIME,time like ,in,literal data
10224,H2O,a double,"wetl""",literal data
10224,CO2,no trailing characters,2023-07-19,literal data
10224,CH4,no trailing characters,15:15:58,literal data
10224,NA,22 columns,25 columns,literal data
10225,DATE,date like ,2,literal data
10225,TIME,time like ,in,literal data
10225,H2O,a double,"wetl""",literal data
10225,CO2,no trailing characters,2023-07-19,literal data
10225,CH4,no trailing characters,15:15:59,literal data
10225,NA,22 columns,25 columns,literal data
10226,DATE,date like ,2,literal data
10226,TIME,time like ,in,literal data
10226,H2O,a double,"wetl""",literal data
10226,CO2,no trailing characters,2023-07-19,literal data
